1,-3.188396,55.944425,250,-3.188324,55.944134,rush.crown.link
2,-3.188324,55.944134,200,-3.188178,55.943872,cubs.trucks.help
3,-3.188178,55.943872,70,-3.187988,55.944104,null
4,-3.187988,55.944104,290,-3.187819,55.944352,thank.salsa.brain
5,-3.187819,55.944352,170,-3.187537,55.944456,null
6,-3.187537,55.944456,220,-3.187239,55.944483,only.fairly.rift
7,-3.187239,55.944483,200,-3.187092,55.944221,null
8,-3.187092,55.944221,250,-3.187020,55.943929,renew.ears.tend
9,-3.187020,55.943929,230,-3.187256,55.943745,shut.stands.media
10,-3.187256,55.943745,250,-3.187184,55.943453,null
11,-3.187184,55.943453,250,-3.187112,55.943162,null
12,-3.187112,55.943162,250,-3.187040,55.942871,strut.river.surely
13,-3.187040,55.942871,340,-3.186812,55.943066,null
14,-3.186812,55.943066,80,-3.186845,55.942768,null
15,-3.186845,55.942768,290,-3.186676,55.943016,null
16,-3.186676,55.943016,80,-3.186709,55.942718,null
17,-3.186709,55.942718,290,-3.186540,55.942966,null
18,-3.186540,55.942966,300,-3.186547,55.942666,null
19,-3.186547,55.942666,20,-3.186425,55.942940,null
20,-3.186425,55.942940,30,-3.186378,55.942644,null
21,-3.186378,55.942644,240,-3.186281,55.942927,null
22,-3.186281,55.942927,240,-3.186183,55.943211,null
23,-3.186183,55.943211,240,-3.186085,55.943494,null
24,-3.186085,55.943494,190,-3.186065,55.943794,teams.mild.played
25,-3.186065,55.943794,140,-3.186125,55.944088,organs.shape.fantastic
26,-3.186125,55.944088,270,-3.185829,55.944035,null
27,-3.185829,55.944035,270,-3.185534,55.943982,manliness.poem.cliff
28,-3.185534,55.943982,20,-3.185412,55.944256,null
29,-3.185412,55.944256,20,-3.185289,55.944530,acid.chair.butter
30,-3.185289,55.944530,170,-3.185008,55.944634,slide.leads.stores
31,-3.185008,55.944634,290,-3.184839,55.944882,null
32,-3.184839,55.944882,70,-3.184649,55.945114,null
33,-3.184649,55.945114,290,-3.184480,55.945362,settle.title.united
34,-3.184480,55.945362,160,-3.184773,55.945428,null
35,-3.184773,55.945428,210,-3.185038,55.945568,null
36,-3.185038,55.945568,160,-3.185331,55.945634,null
37,-3.185331,55.945634,210,-3.185596,55.945775,shed.desire.muddy
38,-3.185596,55.945775,40,-3.185796,55.945998,renew.slows.basket
39,-3.185796,55.945998,280,-3.186073,55.945882,null
40,-3.186073,55.945882,10,-3.186324,55.945719,posts.kicked.universally
41,-3.186324,55.945719,180,-3.186504,55.945478,null
42,-3.186504,55.945478,180,-3.186683,55.945238,dragon.bottle.crisp
43,-3.186683,55.945238,170,-3.186402,55.945342,null
44,-3.186402,55.945342,160,-3.186695,55.945408,null
45,-3.186695,55.945408,120,-3.186450,55.945582,null
46,-3.186450,55.945582,110,-3.186750,55.945569,null
47,-3.186750,55.945569,110,-3.187050,55.945555,null
48,-3.187050,55.945555,120,-3.186806,55.945730,null
49,-3.186806,55.945730,330,-3.187103,55.945690,null
50,-3.187103,55.945690,330,-3.187400,55.945650,null
51,-3.187400,55.945650,330,-3.187698,55.945610,null
52,-3.187698,55.945610,330,-3.187995,55.945571,null
53,-3.187995,55.945571,330,-3.188292,55.945531,skills.less.herb
54,-3.188292,55.945531,160,-3.188585,55.945597,null
55,-3.188585,55.945597,160,-3.188878,55.945663,stops.else.chats
56,-3.188878,55.945663,80,-3.188911,55.945364,null
57,-3.188911,55.945364,80,-3.188944,55.945066,null
58,-3.188944,55.945066,350,-3.189029,55.944779,null
59,-3.189029,55.944779,80,-3.189062,55.944480,null
60,-3.189062,55.944480,350,-3.189147,55.944193,spoon.invest.every
61,-3.189147,55.944193,330,-3.189445,55.944153,null
62,-3.189445,55.944153,330,-3.189742,55.944113,cliff.asleep.wedge
63,-3.189742,55.944113,230,-3.189978,55.943928,null
64,-3.189978,55.943928,10,-3.190230,55.943765,sculpture.shot.melon
65,-3.190230,55.943765,180,-3.190410,55.943525,null
66,-3.190410,55.943525,180,-3.190589,55.943285,null
67,-3.190589,55.943285,180,-3.190769,55.943044,relate.chill.vest
68,-3.190769,55.943044,110,-3.191068,55.943031,else.urban.museum
69,-3.191068,55.943031,350,-3.191153,55.942743,along.spill.limp
70,-3.191153,55.942743,190,-3.191134,55.943043,null
71,-3.191134,55.943043,140,-3.191193,55.943337,meal.feed.large
72,-3.191193,55.943337,190,-3.191173,55.943636,null
73,-3.191173,55.943636,240,-3.191075,55.943920,spicy.bunch.shady
74,-3.191075,55.943920,190,-3.191055,55.944219,null
75,-3.191055,55.944219,190,-3.191035,55.944518,paying.crowd.weep
76,-3.191035,55.944518,140,-3.191095,55.944812,null
77,-3.191095,55.944812,190,-3.191075,55.945112,null
78,-3.191075,55.945112,140,-3.191134,55.945406,null
79,-3.191134,55.945406,190,-3.191114,55.945705,null
80,-3.191114,55.945705,140,-3.191174,55.945999,simple.rust.audio
81,-3.191174,55.945999,100,-3.190915,55.945847,null
82,-3.190915,55.945847,100,-3.190656,55.945695,null
83,-3.190656,55.945695,100,-3.190398,55.945544,null
84,-3.190398,55.945544,100,-3.190139,55.945392,null
85,-3.190139,55.945392,100,-3.189880,55.945240,null
86,-3.189880,55.945240,100,-3.189622,55.945088,null
87,-3.189622,55.945088,100,-3.189363,55.944936,null
88,-3.189363,55.944936,320,-3.189092,55.944807,null
89,-3.189092,55.944807,100,-3.188833,55.944656,null
90,-3.188833,55.944656,320,-3.188562,55.944527,null
